13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,12.74,12.74,12.7,12.82,12.76,12.79,12.8,12.66,12.71,0.0,570.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,12.74,12.74,12.7,12.82,12.76,12.79,12.8,12.66,0.0,569.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,12.74,12.74,12.7,12.82,12.76,12.79,12.8,0.0,568.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,12.74,12.74,12.7,12.82,12.76,12.79,0.0,567.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,12.74,12.74,12.7,12.82,12.76,0.0,566.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.57,12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,12.74,12.74,12.7,12.82,0.0,563.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.59,12.57,12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,12.74,12.74,12.7,0.0,562.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.92,12.59,12.57,12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,12.74,12.74,0.0,561.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.36,12.92,12.59,12.57,12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,12.74,0.0,560.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.47,13.36,12.92,12.59,12.57,12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,12.75,0.0,559.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.41,13.47,13.36,12.92,12.59,12.57,12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,12.64,0.0,556.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.57,13.41,13.47,13.36,12.92,12.59,12.57,12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,12.55,0.0,555.0,9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.77,13.57,13.41,13.47,13.36,12.92,12.59,12.57,12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,12.47,0.0,554.0,9999.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.65,13.77,13.57,13.41,13.47,13.36,12.92,12.59,12.57,12.54,12.79,12.96,12.82,13.09,12.77,12.83,12.63,12.43,12.46,12.25,12.13,12.28,12.41,12.83,12.65,12.5,12.41,12.48,12.42,12.62,0.0,553.0,9999.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
